Loss,Time,Solver,Subset,p
1880113524449713.8,0.02060246467590332,SGD,Test,2
162248.87231939193,0.00021076202392578125,Analytic,Train,2
126389.96201097388,0.00021076202392578125,Analytic,Test,2
6.9792544372638e+23,0.019039154052734375,SGD,Train,2
6.981619330706108e+23,0.019039154052734375,SGD,Test,2
162248.87231939193,0.00019621849060058594,Analytic,Train,2
126389.96201097388,0.00019621849060058594,Analytic,Test,2
1.2468993921676215e+24,0.014026880264282227,SGD,Train,2
1.2473219286557958e+24,0.014026880264282227,SGD,Test,2
162248.87231939193,0.0003955364227294922,Analytic,Train,2
126389.96201097388,0.0003955364227294922,Analytic,Test,2
558845457889798.94,0.021370649337768555,SGD,Train,2
576736425124805.4,0.021370649337768555,SGD,Test,2
162248.87231939193,0.00018739700317382812,Analytic,Train,2
126389.96201097388,0.00018739700317382812,Analytic,Test,2
3.6657089729766185e+18,0.026067256927490234,SGD,Train,2
3.667113903514184e+18,0.026067256927490234,SGD,Test,2
162248.87231939193,0.00017786026000976562,Analytic,Train,2
126389.96201097388,0.00017786026000976562,Analytic,Test,2
7717495049601805.0,0.022911787033081055,SGD,Train,2
7743721045673136.0,0.022911787033081055,SGD,Test,2
162248.87231939193,0.00018215179443359375,Analytic,Train,2
126389.96201097388,0.00018215179443359375,Analytic,Test,2
2414379788938359.0,0.02764582633972168,SGD,Train,2
2881567122508832.0,0.02764582633972168,SGD,Test,2
162248.87231939193,0.00018072128295898438,Analytic,Train,2
126389.96201097388,0.00018072128295898438,Analytic,Test,2
1.4658685457797872e+19,0.021515369415283203,SGD,Train,2
1.4663838856014864e+19,0.021515369415283203,SGD,Test,2
162248.87231939193,0.0001926422119140625,Analytic,Train,2
126389.96201097388,0.0001926422119140625,Analytic,Test,2
3.8367544210437336e+16,0.031253814697265625,SGD,Train,2
3.851357558939112e+16,0.031253814697265625,SGD,Test,2
162248.87231939193,0.00018525123596191406,Analytic,Train,2
126389.96201097388,0.00018525123596191406,Analytic,Test,2
2.3170748832630413e+22,0.13720202445983887,SGD,Train,252
2.714266146461719e+22,0.13720202445983887,SGD,Test,252
2071.9393654252003,0.02942681312561035,Analytic,Train,252
12970154.978436185,0.02942681312561035,Analytic,Test,252
2.2100526974552208e+20,0.35482001304626465,SGD,Train,252
5.102603066506424e+20,0.35482001304626465,SGD,Test,252
2071.9393654252003,0.029448747634887695,Analytic,Train,252
12970154.978436185,0.029448747634887695,Analytic,Test,252
1.0027404463645951e+24,0.18204951286315918,SGD,Train,252
1.0193355598068559e+24,0.18204951286315918,SGD,Test,252
2071.9393654252003,0.03035569190979004,Analytic,Train,252
12970154.978436185,0.03035569190979004,Analytic,Test,252
1.1713974218165035e+19,0.4784388542175293,SGD,Train,252
2.8374924824629677e+20,0.4784388542175293,SGD,Test,252
2071.9393654252003,0.02960205078125,Analytic,Train,252
12970154.978436185,0.02960205078125,Analytic,Test,252
1.2093051684734517e+20,0.27742576599121094,SGD,Train,252
6.360553740137784e+20,0.27742576599121094,SGD,Test,252
2071.9393654252003,0.029898881912231445,Analytic,Train,252
12970154.978436185,0.029898881912231445,Analytic,Test,252
3.638176072198077e+23,0.13602972030639648,SGD,Train,252
